Strain,Genotype,Media,Ploidy,Well,Experiment,Instrument
FY4,FY4,SC,1N,1,Aria_Double_Flourescense_Strains,Aria
1658,GAP1_mCitrine,SC,1N,2,Aria_Double_Flourescense_Strains,Aria
MEP2_mCherry_4,MEP2_mCherry,SC,1N,3,Aria_Double_Flourescense_Strains,Aria
5A,MEP2_mCherry; GAP1_mCitrine,SC,1N,4,Aria_Double_Flourescense_Strains,Aria
5B,MEP2_mCherry; GAP1_mCitrine,SC,1N,5,Aria_Double_Flourescense_Strains,Aria
HXT6n7_mCherry_7,HXT6n7_mCherry,SC,1N,6,Aria_Double_Flourescense_Strains,Aria
3A,HXT6n7_mCherry; GAP1_mCitrine,SC,1N,7,Aria_Double_Flourescense_Strains,Aria
3D,HXT6n7_mCherry; GAP1_mCitrine,SC,1N,8,Aria_Double_Flourescense_Strains,Aria
3D,HXT6n7_mCherry; GAP1_mCitrine,SC,1N,9,Aria_Default_Volt,Aria
1658,GAP1_mCitrine,SC,1N,10,Aria_Default_Volt,Aria
HXT6n7_mCherry_7,HXT6n7_mCherry,SC,1N,11,Aria_Default_Volt,Aria
